quarter,area_code,purpose,area_name,area_type_name,primary_admin_name,primary_district_name,ratio_08,ratio_14,ratio_19,minimum_period_ratio,mean_period_ratio,access_tier,purpose_store_count,purpose_sales_amount,purpose_time_fit_amount,purpose_store_share,purpose_sales_share,purpose_time_fit_share,store_count_percentile,store_share_percentile,sales_amount_percentile,sales_share_percentile,time_fit_percentile,purpose_supply_score,current_sales_signal,access_score,lagged_sales_signal,path_v0_score,purpose_rank
20254,3001493,쇼핑,동대문패션타운 관광특구,관광특구,신당동,중구,1.0,0.997005988023952,1.0,0.997005988023952,0.999001996007984,core_80pct_all_periods,11766.0,125423676912.0,59654250228.0,0.9626902307314679,0.840583969748703,0.47562192160778965,100.0,98.21882951653944,98.60050890585241,89.31297709923665,43.51145038167939,99.3765903307888,82.5063613231552,90.02544529262086,85.75063613231553,95.28880407124682,2.0
20254,3120037,쇼핑,동대문역사문화공원역,발달상권,광희동,중구,0.9910179640718564,0.994011976047904,1.0,0.9910179640718564,0.9950099800399202,core_80pct_all_periods,1497.0,61656074169.0,35214218951.0,0.8105035192203573,0.6970036921605413,0.5711394931580857,98.72773536895674,94.14758269720102,97.45547073791349,79.13486005089058,71.37404580152672,97.12468193384225,86.35496183206108,85.31806615776082,90.87150127226462,95.24872773536896,3.0
20254,3120060,쇼핑,강변역(테크노마트),발달상권,구의3동,광진구,0.8682634730538922,0.8413173652694611,0.8772455089820359,0.8413173652694611,0.8622754491017964,core_80pct_all_periods,604.0,28927248564.0,16510758414.0,0.841225626740947,0.8340265025447041,0.5707683666308887,96.56488549618321,94.78371501272265,93.89312977099237,89.05852417302799,71.2468193384224,95.94147582697201,87.02290076335879,53.06615776081425,93.4796437659033,95.20292620865139,4.0
20254,3120009,쇼핑,종로3가역,발달상권,종로1·2·3·4가동,종로구,0.9700598802395208,0.9790419161676648,0.9850299401197604,0.9700598802395208,0.9780439121756488,core_80pct_all_periods,2687.0,242444839232.0,156889390688.0,0.7150079829696647,0.7531873901786309,0.6471137566177254,99.74554707379136,88.93129770992367,99.49109414758269,82.95165394402035,87.91348600508906,95.96055979643766,92.46183206106869,71.95928753180661,91.2531806615776,94.54834605597964,5.0
20254,3120227,쇼핑,잠실역,발달상권,잠실6동,송파구,0.7425149700598802,0.7155688622754491,0.7634730538922155,0.7155688622754491,0.7405189620758482,base_50pct_all_periods,1187.0,243852962522.0,169540708366.0,0.6627582356225572,0.8305645774650156,0.6952579399182174,98.47328244274809,85.36895674300254,99.61832061068702,88.80407124681933,92.74809160305344,93.88676844783714,95.1972010178117,43.07888040712468,95.48346055979643,94.36577608142491,6.0
20254,3001496,쇼핑,강남 마이스 관광특구,관광특구,삼성1동,강남구,0.3413173652694611,0.3473053892215569,0.344311377245509,0.3413173652694611,0.344311377245509,exploration_25pct_all_periods,710.0,67455995951.0,45792869769.0,0.7819383259911894,0.6221276024925021,0.6788554393632246,97.20101781170484,92.23918575063614,97.83715012722645,74.55470737913485,90.45801526717557,95.4643765903308,90.17175572519082,6.310432569974554,90.13994910941474,93.86704834605598,7.0
20254,3120040,쇼핑,용산전자상가(용산역),발달상권,한강로동,용산구,0.6047904191616766,0.5329341317365269,0.5718562874251497,0.5329341317365269,0.5698602794411177,base_50pct_all_periods,482.0,193171589987.0,130631056916.0,0.724812030075188,0.9447220784525338,0.6762436283968629,94.65648854961832,89.56743002544529,99.36386768447836,94.529262086514,90.20356234096693,92.87531806615776,95.8651399491094,21.641221374045802,95.8969465648855,93.78180661577608,8.0
20254,3130024,쇼핑,남대문시장(자유상가),전통시장,회현동,중구,0.8652694610778443,0.8532934131736527,0.8862275449101796,0.8532934131736527,0.8682634730538922,core_80pct_all_periods,2142.0,126454902918.0,55961497218.0,0.91931330472103,0.913861082868398,0.4425411425469867,99.10941475826972,97.20101781170484,98.72773536895674,93.00254452926208,36.6412213740458,98.44147582697202,81.77480916030535,54.592875318066156,82.37913486005088,93.62277353689568,9.0
20254,3120243,쇼핑,천호역,발달상권,천호2동,강동구,0.7514970059880239,0.7245508982035929,0.7574850299401198,0.7245508982035929,0.7445109780439122,base_50pct_all_periods,1003.0,40358974192.0,25595094297.0,0.7380426784400295,0.6238574371609359,0.6341859477209777,98.09160305343512,90.07633587786259,95.54707379134861,74.80916030534351,86.25954198473282,95.28625954198473,88.04071246819339,43.969465648854964,88.83587786259542,93.35114503816794,10.0
20254,3120011,쇼핑,종로4가,발달상권,종로1·2·3·4가동,종로구,0.9760479041916168,0.9850299401197604,0.9910179640718564,0.9760479041916168,0.9840319361277444,core_80pct_all_periods,536.0,20286379699.0,11485040144.0,0.9008403361344538,0.8830818069029334,0.5661453800239253,95.67430025445293,96.56488549618321,91.73027989821882,91.47582697201018,69.46564885496184,95.98600508905852,86.10050890585242,73.8676844783715,87.15012722646311,93.3352417302799,11.0
