area_code,time_slot,purpose,inflow_count,source_row_count,time_slot_inflow_total,purpose_share,source_period
3110007,evening,school,179.88319428474495,61,84360.31678569528,0.002132320042629892,20260801-20260831
3110007,morning,commute,65710.50730438228,62,109628.1390646797,0.599394533784922,20260801-20260831
3110007,morning,hospital,396.4126606466536,30,109628.1390646797,0.0036159754605774473,20260802-20260831
3110007,morning,other,36764.93727294951,62,109628.1390646797,0.33536040643049225,20260801-20260831
3110007,morning,return_home,3626.457858829172,62,109628.1390646797,0.03307962617781546,20260801-20260831
3110007,morning,school,3129.823967872079,62,109628.1390646797,0.028549458146192818,20260801-20260831
3110007,night,commute,724.3450500208811,62,18531.830649462332,0.03908653514713058,20260801-20260831
3110007,night,hospital,1.2709325174846524,2,18531.830649462332,6.858105610421852e-05,20260812-20260816
3110007,night,other,6974.2761681013035,62,18531.830649462332,0.3763403788876977,20260801-20260831
3110007,night,return_home,10793.948795876593,62,18531.830649462332,0.582454534581545,20260801-20260831
3110007,night,school,37.989702946069166,38,18531.830649462332,0.0020499703275224657,20260801-20260831
3110008,daytime,commute,13606.690156481685,62,139133.9132084651,0.09779564049272954,20260801-20260831
3110008,daytime,other,102927.72204957948,62,139133.9132084651,0.7397745069914213,20260801-20260831
3110008,daytime,return_home,19788.93798427857,62,139133.9132084651,0.14222943585744405,20260801-20260831
3110008,daytime,school,2810.563018125379,62,139133.9132084651,0.020200416658405183,20260801-20260831
3110008,evening,commute,764.7996012394251,62,70875.67689135116,0.010790720241188304,20260801-20260831
3110008,evening,other,38497.81024937804,62,70875.67689135116,0.5431737930121393,20260801-20260831
3110008,evening,return_home,30975.453972735595,62,70875.67689135116,0.4370392683546346,20260801-20260831
3110008,evening,school,637.6130679980956,62,70875.67689135116,0.008996218392037713,20260801-20260831
3110008,morning,commute,40757.09175552607,62,77436.14962752917,0.5263315899818009,20260801-20260831
3110008,morning,other,26537.047247246635,62,77436.14962752917,0.3426958516776834,20260801-20260831
3110008,morning,return_home,3330.517064148657,62,77436.14962752917,0.04300984850316772,20260801-20260831
3110008,morning,school,6811.493560607819,62,77436.14962752917,0.0879627098373481,20260801-20260831
3110008,night,commute,574.0728471781143,62,14480.97907845678,0.039643234346782345,20260801-20260831
3110008,night,other,5091.3315432142,62,14480.97907845678,0.35158752150871675,20260801-20260831
3110008,night,return_home,8686.155463343686,62,14480.97907845678,0.5998320566781289,20260801-20260831
3110008,night,school,129.41922472077994,49,14480.97907845678,0.008937187466372058,20260801-20260831
3110012,daytime,commute,26236.231849176806,31,202255.47447340738,0.1297182779229363,20260801-20260831
3110012,daytime,other,161640.34766181782,31,202255.47447340738,0.7991889865165076,20260801-20260831
3110012,daytime,return_home,13710.25140248099,31,202255.47447340738,0.06778680002693138,20260801-20260831
3110012,daytime,school,668.6435599317473,31,202255.47447340738,0.0033059355336246326,20260801-20260831
3110012,evening,commute,1564.78501479801,31,87107.89503569597,0.017963756490232904,20260801-20260831
3110012,evening,other,65747.58937536323,31,87107.89503569597,0.7547833563010621,20260801-20260831
3110012,evening,return_home,19703.940425786994,31,87107.89503569597,0.22620154485092897,20260801-20260831
3110012,evening,school,91.58021974774482,31,87107.89503569597,0.0010513423577761367,20260801-20260831
3110012,morning,commute,95850.8396605482,31,140123.84337098646,0.6840437526879507,20260801-20260831
3110012,morning,other,39384.275943819484,31,140123.84337098646,0.2810676255828011,20260801-20260831
3110012,morning,return_home,2702.7028238669864,31,140123.84337098646,0.01928795812937713,20260801-20260831
3110012,morning,school,2186.0249427518024,31,140123.84337098646,0.015600663599871204,20260801-20260831
3110012,night,commute,857.7696703417902,31,13608.860193074548,0.06303023605006267,20260801-20260831
3110012,night,other,6335.8371122884355,31,13608.860193074548,0.4655670660436866,20260801-20260831
3110012,night,return_home,6400.00586883133,31,13608.860193074548,0.4702822850725035,20260801-20260831
3110012,night,school,15.247541612992498,18,13608.860193074548,0.0011204128337472276,20260801-20260831
