area_code,area_name,area_type_name,evaluated_quarters,above_expected_quarters,below_expected_quarters,mean_residual_z,mean_actual_to_expected_log_gap,persistent_gap
3120003,광화문역,발달상권,4,0,0,-0.04173530299362788,-0.0989678895816537,not_persistent
3001491,이태원 관광특구,관광특구,4,0,0,-0.041953241712074416,-0.09642445653876397,not_persistent
3130046,team204(팀204),전통시장,4,1,2,-0.04315467965271208,-0.12266119557956046,not_persistent
3130198,아현시장,전통시장,4,0,0,-0.04329922844964733,-0.10077812754156401,not_persistent
3110018,중앙고등학교,골목상권,4,0,0,-0.044045768690910404,-0.09476314487837634,not_persistent
3120190,강남을지병원,발달상권,4,0,0,-0.04433765698920454,-0.09958094592807853,not_persistent
3120004,종로구청,발달상권,4,0,0,-0.044829660022820295,-0.10271441978685658,not_persistent
3110148,어린이대공원역 3번,골목상권,4,0,0,-0.0449751543822076,-0.1011611829877399,not_persistent
3120247,굽은다리역,발달상권,4,0,0,-0.045583200269896124,-0.10488460183100212,not_persistent
3110432,대진고등학교,골목상권,4,0,0,-0.0461932395554804,-0.10903368976849936,not_persistent
3110159,구의역 4번,골목상권,4,0,0,-0.0496115942707539,-0.11512397179815537,not_persistent
3130015,창신골목시장,전통시장,4,0,0,-0.049644405672565076,-0.11334369727412419,not_persistent
3130159,공릉동 도깨비시장,전통시장,4,0,0,-0.0502122228075777,-0.11470053433384297,not_persistent
3130126,새석관시장,전통시장,4,0,0,-0.05070369752482473,-0.11903494695899441,not_persistent
3110403,방학1동주민센터,골목상권,4,0,0,-0.05135423542304787,-0.11854088525069706,not_persistent
3110243,중랑노인종합복지관,골목상권,4,0,0,-0.05141247446663544,-0.11690400949908586,not_persistent
3130314,풍납시장,전통시장,4,0,0,-0.05188874191262974,-0.12070528279675852,not_persistent
3120012,대학로(혜화역),발달상권,4,0,0,-0.052121303987406456,-0.119871804851031,not_persistent
3110167,용마초등학교,골목상권,4,0,0,-0.05226822444493784,-0.12014145549059663,not_persistent
3120233,몽촌토성역,발달상권,4,0,0,-0.05551360638287504,-0.1274118180624999,not_persistent
3120013,이화사거리,발달상권,4,0,0,-0.05601438940032438,-0.12843068630577292,not_persistent
3130313,방이시장,전통시장,4,0,0,-0.05696309172941061,-0.13292669902105736,not_persistent
3111076,둔촌2동주민센터,골목상권,4,0,0,-0.057608172431939136,-0.13534379709083577,not_persistent
3110152,중곡어린이공원,골목상권,4,0,0,-0.058696840967588086,-0.13159291637216164,not_persistent
3130112,사가정시장,전통시장,4,0,0,-0.05874450605353228,-0.1346296594918659,not_persistent
3110075,숙대입구역 1번,골목상권,4,0,0,-0.05907103947407202,-0.1349993763324795,not_persistent
3110211,전곡마을마당공원,골목상권,4,0,0,-0.06065591713133679,-0.14238521420338035,not_persistent
3110277,러스크서울병원,골목상권,4,0,0,-0.06405181626850581,-0.14793731894049245,not_persistent
3130016,동대문상가B동,전통시장,4,0,0,-0.0645202990074579,-0.1445008718927765,not_persistent
3110128,성원중학교,골목상권,4,0,0,-0.06520654718448339,-0.1487487833138399,not_persistent
3110104,신금호역 4번,골목상권,4,0,0,-0.06583025739960117,-0.15282574832892593,not_persistent
3130146,쌍문시장(쌍문역골목시장),전통시장,4,0,0,-0.06650977782817882,-0.15270092598030338,not_persistent
3110140,건대입구역 6번,골목상권,4,0,0,-0.06757210469300778,-0.15332095024246062,not_persistent
3110439,당고개역 5번,골목상권,4,0,0,-0.0682466290712003,-0.15610316890192166,not_persistent
3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",전통시장,4,0,0,-0.06827221520470719,-0.1563813828422722,not_persistent
3120037,동대문역사문화공원역,발달상권,4,0,0,-0.06999541879000425,-0.16251681632340098,not_persistent
3120051,뚝섬역,발달상권,4,0,0,-0.07003460975961052,-0.16269083198850254,not_persistent
3110422,노원역 9번,골목상권,4,0,0,-0.07558706602960685,-0.17491134253119967,not_persistent
3110253,중곡초등학교,골목상권,4,0,0,-0.07672588358259987,-0.1780824564938186,not_persistent
3110151,자양한강도서관,골목상권,4,0,0,-0.07770495337205933,-0.17422238088523123,not_persistent
3120167,고속터미널(고속터미널역),발달상권,4,0,0,-0.07828149806024279,-0.1876019496620609,not_persistent
3120103,홍대입구역(홍대),발달상권,4,0,0,-0.07969643197088895,-0.17897547491353638,not_persistent
3120025,롯데백화점(시청광장 지하쇼핑센터),발달상권,4,0,0,-0.08047398138569571,-0.1743806159938277,not_persistent
3120052,성수역,발달상권,4,0,0,-0.0841582416328491,-0.18803392632309812,not_persistent
3111077,길동주민센터(강동도서관),골목상권,4,0,0,-0.08510460429838249,-0.19078855181645427,not_persistent
3110400,도봉구보건소,골목상권,4,0,0,-0.085347222917667,-0.19470796547254032,not_persistent
3110529,홍제3동주민센터,골목상권,4,0,0,-0.08596745814572844,-0.19410878606164417,not_persistent
3110582,이대역 5번,골목상권,4,0,0,-0.08686884261907589,-0.19342813556140737,not_persistent
3110250,화랑대역 7번,골목상권,4,0,0,-0.08740053225947214,-0.19689582372744852,not_persistent
3130067,왕십리도선동상점가,전통시장,4,0,0,-0.08750172123920893,-0.19604267084471605,not_persistent
3130110,면목골목시장(면목시장),전통시장,4,0,0,-0.08938514147133662,-0.19977486518451215,not_persistent
3110217,자동차부품상가,골목상권,4,0,0,-0.0912615083848728,-0.21150412791831563,not_persistent
3120024,회현역,발달상권,4,0,0,-0.09279782691220928,-0.20844388681256554,not_persistent
3120228,석촌역(석촌호수),발달상권,4,0,0,-0.09338994168047557,-0.2098948497977844,not_persistent
3110572,서강대역 1번,골목상권,4,0,0,-0.09388684011723088,-0.21099432948360963,not_persistent
3130114,유영시장,전통시장,4,0,0,-0.09714633794802198,-0.21350424959316844,not_persistent
3130073,뚝도시장,전통시장,4,0,0,-0.09856600495159283,-0.2200798377924622,not_persistent
3120213,삼성중앙역,발달상권,4,0,0,-0.09923873422524702,-0.22284442461481024,not_persistent
3110413,누원고등학교,골목상권,4,0,0,-0.09979654636193135,-0.22198542562393442,not_persistent
3120063,청량리역(청량리),발달상권,4,0,0,-0.09989320455096662,-0.2243430678069176,not_persistent
3120214,영동대교남단교차로,발달상권,4,0,0,-0.10379852712750735,-0.23569870618114397,not_persistent
3130106,중랑동부시장,전통시장,4,0,0,-0.10392034285926707,-0.23474450708351924,not_persistent
3120011,종로4가,발달상권,4,0,0,-0.10419278849280562,-0.22909557998898578,not_persistent
3120002,서촌(경복궁역),발달상권,4,0,0,-0.1065584920711074,-0.2390905881934282,not_persistent
3111048,천호역 1번(천호문구완구거리),골목상권,4,0,0,-0.10836636720210846,-0.2434565374310793,not_persistent
3120019,경찰청앞교차로,발달상권,4,0,0,-0.11125699531596321,-0.24911849633246597,not_persistent
3110174,아차산역 1번,골목상권,4,0,0,-0.1114402615867128,-0.24561870238518413,not_persistent
3111073,둔촌동역 1번(한산중학교),골목상권,4,0,0,-0.11154581092389533,-0.2503045532349484,not_persistent
3110225,촬영소사거리,골목상권,4,0,0,-0.11279334036393718,-0.2532742863032045,not_persistent
3111061,암사역 1번,골목상권,4,0,0,-0.11290032035059139,-0.2524933741507551,not_persistent
3110158,중곡3동주민센터,골목상권,4,0,0,-0.11503388360859869,-0.25600560730972255,not_persistent
3130139,강북종합전통시장(강북종합골목시장),전통시장,4,0,0,-0.11648776308231779,-0.2589323639699668,not_persistent
3110056,신당역 3번,골목상권,4,0,0,-0.11658363924603402,-0.2613391215056815,not_persistent
3110142,화양사거리,골목상권,4,0,0,-0.118851191412867,-0.26580089946074903,not_persistent
3110047,다산성곽길,골목상권,4,0,0,-0.12056050589403315,-0.28298773670040767,not_persistent
3110088,오산고등학교,골목상권,4,0,0,-0.12097262531813444,-0.2712456135007457,not_persistent
3110084,경리단길북측,골목상권,4,0,0,-0.121446484134615,-0.2746939869389129,not_persistent
3110375,서울북부고용노동지청,골목상권,4,0,0,-0.12145401875533988,-0.25293536412881856,not_persistent
3110172,광진초등학교,골목상권,4,0,0,-0.121602838110588,-0.27475750032494606,not_persistent
