area_code,area_name,area_type_name,admin_code,admin_name,district_name,overlap_m2,area_m2,overlap_share
3111063,강동구립 천호도서관,골목상권,11740620,천호3동,강동구,150521.89480347297,150521.894803473,0.9999999999999998
3111064,둔촌동역 4번,골목상권,11740660,성내3동,강동구,51128.46454657441,51128.464546574396,1.0000000000000002
3111065,천일초등학교,골목상권,11740620,천호3동,강동구,31308.70352117786,62232.935849750334,0.5030889687860269
3111065,천일초등학교,골목상권,11740600,천호1동,강동구,30924.2323285724,62232.935849750334,0.49691103121397195
3111066,암사동성당(효정하나플러스아파트),골목상권,11740570,암사1동,강동구,106150.27635176534,106562.07794332187,0.9961355709319448
3111066,암사동성당(효정하나플러스아파트),골목상권,11740600,천호1동,강동구,232.4068629787787,106562.07794332187,0.002180952806704755
3111066,암사동성당(효정하나플러스아파트),골목상권,11740610,천호2동,강동구,179.39472857849367,106562.07794332187,0.0016834762613573465
3111067,강동구립성내도서관,골목상권,11740660,성내3동,강동구,203925.03988787814,203965.6029257664,0.9998011280465607
3111067,강동구립성내도서관,골목상권,11740685,길동,강동구,32.10528276685768,203965.6029257664,0.00015740537770254548
3111067,강동구립성내도서관,골목상권,11740700,둔촌2동,강동구,6.331646991670567,203965.6029257664,3.104271946272715e-05
3111067,강동구립성내도서관,골목상권,11740650,성내2동,강동구,2.089849545677965,203965.6029257664,1.0246088142805966e-05
3111067,강동구립성내도서관,골목상권,11740640,성내1동,강동구,0.03625858455093764,203965.6029257664,1.777681336011053e-07
3111068,강동성심병원,골목상권,11740685,길동,강동구,19598.479954585102,19646.467025345562,0.9975574707300527
3111068,강동성심병원,골목상권,11740620,천호3동,강동구,47.82524434331367,19646.467025345562,0.0024342923479124855
3111068,강동성심병원,골목상권,11740660,성내3동,강동구,0.16182641729725278,19646.467025345562,8.236922042445767e-06
3111069,천호1동주민센터,골목상권,11740600,천호1동,강동구,94854.74801849571,110490.6609474597,0.858486565336059
3111069,천호1동주민센터,골목상권,11740620,천호3동,강동구,15635.912928964226,110490.6609474597,0.1415134346639431
3111070,천호초등학교,골목상권,11740600,천호1동,강동구,56718.06317266092,59079.52329812536,0.9600291269523603
3111070,천호초등학교,골목상권,11740570,암사1동,강동구,2361.460125464605,59079.52329812536,0.039970873047642484
3111071,천동초등학교,골목상권,11740685,길동,강동구,35218.25882996104,35500.367527504604,0.9920533583962197
3111071,천동초등학교,골목상권,11740620,천호3동,강동구,282.10869754333976,35500.367527504604,0.007946641603774117
3111072,굽은다리역 1번(십자성마을),골목상권,11740600,천호1동,강동구,78255.69675943165,153254.27589074415,0.5106265146900083
3111072,굽은다리역 1번(십자성마을),골목상권,11740620,천호3동,강동구,58546.23312468719,153254.27589074415,0.3820202260876893
3111072,굽은다리역 1번(십자성마을),골목상권,11740685,길동,강동구,16452.3460066259,153254.27589074415,0.10735325922230628
3111073,둔촌동역 1번(한산중학교),골목상권,11740700,둔촌2동,강동구,179545.38839870095,179873.79001048798,0.9981742664577875
3111073,둔촌동역 1번(한산중학교),골목상권,11740690,둔촌1동,강동구,307.14541217897596,179873.79001048798,0.0017075606855288205
3111073,둔촌동역 1번(한산중학교),골목상권,11740660,성내3동,강동구,21.256199608438806,179873.79001048798,0.00011817285668578735
3111074,명일역 1번,골목상권,11740570,암사1동,강동구,40855.282085888764,49435.73753376017,0.8264321344045545
3111074,명일역 1번,골목상권,11740530,명일1동,강동구,6610.029241221306,49435.73753376017,0.13370953020994678
3111074,명일역 1번,골목상권,11740600,천호1동,강동구,1970.4262066512688,49435.73753376017,0.03985833538552236
3111075,굽은다리역 2번,골목상권,11740600,천호1동,강동구,86590.16641853494,87781.99431319868,0.9864228660559772
3111075,굽은다리역 2번,골목상권,11740530,명일1동,강동구,1133.880274395336,87781.99431319868,0.012917002891843034
3111075,굽은다리역 2번,골목상권,11740570,암사1동,강동구,57.94762026834484,87781.99431319868,0.0006601310521790228
3111076,둔촌2동주민센터,골목상권,11740700,둔촌2동,강동구,59774.340605087455,60068.15027313839,0.9951087278913211
3111076,둔촌2동주민센터,골목상권,11740685,길동,강동구,293.8096680508653,60068.15027313839,0.004891272108677745
3111077,길동주민센터(강동도서관),골목상권,11740685,길동,강동구,240589.18746112488,247202.88597043577,0.9732458685368994
3111077,길동주민센터(강동도서관),골목상권,11740700,둔촌2동,강동구,6613.698509310739,247202.88597043577,0.026754131463099923
3111078,굽은다리역 4번,골목상권,11740685,길동,강동구,200343.99746751162,207327.9483884758,0.9663144743617577
