area_code,area_name,primary_district_name,minimum_period_ratio,access_tier,study_stay_current_score,study_stay_current_rank,study_public_inside_count,study_public_nearby_only_count,study_cafe_inside_count,movement_inflow_commute,movement_inflow_hospital,movement_inflow_other,movement_inflow_return_home,movement_inflow_school,movement_inflow_shopping,movement_inflow_tourism,movement_inflow_total,movement_school_share,movement_nonroutine_share,movement_commute_return_share,integration_segment,study_score_q75,movement_school_share_q75,movement_context_usage
3110160,광진경찰서,광진구,0.6317365269461078,base_50pct_all_periods,37.988264205342546,449,0,1,0.0,20366.268415121085,0.0,95156.61570394917,106484.9589687236,3212.6888876988037,0.0,0.0,225220.53197549266,0.014264635908276747,0.43676881378804316,0.5632311862119569,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110425,계상초등학교,노원구,0.5538922155688623,base_50pct_all_periods,37.978274751110206,450,0,4,0.0,30420.82684991296,0.0,137262.9336696892,136215.31566306078,2795.0818010184566,5654.3771529761225,0.0,312348.53513665753,0.008948599037916291,0.4484029848561,0.5334942340615356,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3120029,을지로2가,중구,0.9311377245508982,core_80pct_all_periods,37.96119592875318,451,0,0,0.0,206269.5673330816,0.0,351401.14705629484,16545.956379431263,10859.50425972005,23543.303911978084,1565.8402329631979,610185.3191734691,0.017797059218713863,0.5962557277546465,0.3651604139121689,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110082,용산구청,용산구,0.8233532934131736,core_80pct_all_periods,37.92302798982188,452,0,0,0.0,16952.502932202056,0.0,86346.92519377414,20221.14575058077,313.33534432942423,0.0,2739.9790131107593,126573.88823399715,0.0024755133045305613,0.70630870868042,0.2936912913195801,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110047,다산성곽길,중구,0.9520958083832336,core_80pct_all_periods,37.84457328341025,453,0,3,0.0,25463.479964228736,0.0,91556.6206806343,57797.286816921194,4945.17167089202,0.0,0.0,179762.55913267625,0.027509464121737208,0.5368292085800905,0.46317079141990947,demand_signal_feature_gap,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110417,월계역 3번,노원구,0.8413173652694611,core_80pct_all_periods,37.75331853055854,454,0,1,0.0,71295.82348152703,0.0,350951.4587844165,525882.0583743211,30138.859695704865,0.0,0.0,978268.2003359694,0.030808381265336224,0.3895560730168296,0.6104439269831704,demand_signal_feature_gap,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110095,한강진역 3번,용산구,0.8622754491017964,core_80pct_all_periods,37.7321882951654,455,0,0,0.0,41917.09087557974,0.0,130380.45425676517,35520.77340455147,2333.2135254565915,0.0,1100.37035624961,211251.90241860258,0.01104469829025848,0.6334335293857589,0.3665664706142411,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3120011,종로4가,종로구,0.9760479041916168,core_80pct_all_periods,37.72582697201018,456,0,0,0.0,172726.14024985378,0.0,388622.3553755492,21422.938867893707,2237.761727201727,0.0,840.6525214167991,585849.8487419152,0.003819684740052787,0.6686026640876098,0.3313973359123903,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110193,고려대역 4번,동대문구,0.9221556886227544,core_80pct_all_periods,37.69083969465649,457,0,0,0.0,11621.38156587216,414.1979749703767,45375.19676890428,31807.502079719045,1563.8608691774232,0.0,0.0,90782.13925864328,0.017226525855729154,0.5170516802247825,0.4783857705959092,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
3110058,성심여자고등학교,용산구,0.3323353293413174,exploration_25pct_all_periods,37.63802809572409,458,1,1,0.0,48143.410977140906,0.0,112497.51748561619,187801.9335724642,6669.308598289234,0.0,0.0,355112.1706335105,0.018780850530668573,0.33557516733745013,0.6644248326625499,monitor,50.85121336796989,0.02302566559847529,destination-context-proxy-only
